city,region,city_id,quarter,key,title,wordscount,titlewords,sentimentP1HV,sentiment_titleP1HV,setimentP1LM,sentiment_titleP1LM,postiveP2HV,negativeP2HV,postive_titleP2HV,negative_titleP2HV,postiveP2LM,negativeP2LM,postive_titleP2LM,negative_titleP2LM,scoreP1HV,score_titleP1HV,scoreP1LM,score_titleP1LM,SQHV,NcountHV,PcountHV,SQ_titleHV,Ncount_titleHV,Pcount_titleHV,SQLM,NcountLM,PcountLM,SQ_titleLM,Ncount_titleLM,Pcount_titleLM,Income,Rent,Unemployment,Population,6MonthRate,houseIndex
Sydney,,7,2003Q1,Sydney2003Q1,5,3369,44,48,2,-34,-1,5,0,2,0,1,3,1,1,0.014247551,0.000593648,-0.010092015,-0.000296824,1,0,1,1,0,0.4,0.25,0.6,0.2,0.5,0.2,0.2,11091,68.7,6.322695867,5265.472667,4.638196875,
Sydney,,7,2003Q2,Sydney2003Q2,9,5587,88,125,8,-5,1,9,0,6,1,3,5,3,2,0.022373367,0.001431895,-0.000894935,0.000178987,1,0,1,0.857142857,0.111111111,0.666666667,0.375,0.555555556,0.333333333,0.6,0.222222222,0.333333333,11593,68.9,5.767529067,5275.227667,4.587512308,
Sydney,,7,2003Q3,Sydney2003Q3,50,33155,349,587,13,-168,0,46,1,16,8,15,33,6,4,0.01770472,0.000392098,-0.005067109,0,0.978723404,0.02,0.92,0.666666667,0.16,0.32,0.3125,0.66,0.3,0.6,0.08,0.12,11810,69.5,5.501709633,5282.028333,4.738401515,85.3
Sydney,,7,2003Q4,Sydney2003Q4,28,14496,191,252,3,-138,-5,24,4,6,3,5,22,3,6,0.017384106,0.000206954,-0.009519868,-0.000344923,0.857142857,0.142857143,0.857142857,0.666666667,0.107142857,0.214285714,0.185185185,0.785714286,0.178571429,0.333333333,0.214285714,0.107142857,12879,69.7,5.260515233,5290.249333,5.303036364,88.2
Sydney,,7,2004Q1,Sydney2004Q1,28,17513,130,341,2,-86,0,25,3,4,3,7,20,2,3,0.01947125,0.000114201,-0.004910638,0,0.892857143,0.107142857,0.892857143,0.571428571,0.107142857,0.142857143,0.259259259,0.714285714,0.25,0.4,0.107142857,0.071428571,11682,70.1,5.726794467,5303.098667,5.520466154,87
Sydney,,7,2004Q2,Sydney2004Q2,15,7456,113,11,-10,-59,-3,7,6,1,9,2,11,1,3,0.001475322,-0.001341202,-0.00791309,-0.000402361,0.538461538,0.4,0.466666667,0.1,0.6,0.066666667,0.153846154,0.733333333,0.133333333,0.25,0.2,0.066666667,12258,70.4,5.348189733,5311.023333,5.487298462,84.4
Sydney,,7,2004Q3,Sydney2004Q3,13,8097,76,125,0,-25,1,9,3,2,2,4,8,2,1,0.015437816,0,-0.003087563,0.000123503,0.75,0.230769231,0.692307692,0.5,0.153846154,0.153846154,0.333333333,0.615384615,0.307692308,0.666666667,0.076923077,0.153846154,12218,70.5,5.133634667,5319.482667,5.429466667,84.2
Sydney,,7,2004Q4,Sydney2004Q4,11,6354,60,66,0,2,-3,7,3,1,1,6,5,0,3,0.010387158,0,0.000314762,-0.000472144,0.7,0.272727273,0.636363636,0.5,0.090909091,0.090909091,0.545454545,0.454545455,0.545454545,0,0.272727273,0,13056,70.7,4.9370379,5329.998333,5.353707576,84.8
Sydney,,7,2005Q1,Sydney2005Q1,12,6233,83,172,4,17,-5,12,0,5,1,6,6,0,3,0.027595059,0.000641746,0.002727419,-0.000802182,1,0,1,0.833333333,0.083333333,0.416666667,0.5,0.5,0.5,0,0.25,0,11859,70.9,5.734522633,5345.227333,5.615735938,83.2
Sydney,,7,2005Q2,Sydney2005Q2,15,9453,94,140,-2,-58,0,13,2,4,6,2,11,1,1,0.014810113,-0.000211573,-0.006135618,0,0.866666667,0.133333333,0.866666667,0.4,0.4,0.266666667,0.153846154,0.733333333,0.133333333,0.5,0.066666667,0.066666667,12616,71.4,5.0095036,5355.901333,5.647849231,82.6
