date,CPI,Unemployment rate,Employment rate,Mortage,Rent,GDP
1/1/2000,94,7.3,59.6,8.34,96,"1,325,658"
2/1/2000,94.3,7.3,59.9,8.43,96.1,"1,325,888"
3/1/2000,94.8,7.3,60.1,8.24,96.2,"1,336,931"
4/1/2000,94.4,7.1,60.4,8.23,96.3,"1,335,504"
5/1/2000,94.7,6.7,61.9,8.5,96.4,"1,343,064"
6/1/2000,95.3,6.3,62.5,8.34,96.5,"1,348,065"
7/1/2000,95.6,7,62.7,8.18,96.6,"1,351,075"
8/1/2000,95.5,7.2,62.6,8.08,96.7,"1,356,048"
9/1/2000,95.9,6.3,61.6,8.08,96.8,"1,358,502"
10/1/2000,96.3,6.4,61.6,8.08,96.9,"1,361,067"
11/1/2000,96.8,6.5,61.3,8.04,97.1,"1,362,013"
12/1/2000,97,6.4,61.1,7.81,97.2,"1,365,443"
1/1/2001,96.8,7.5,59.9,7.58,97.3,"1,365,514"
2/1/2001,96.9,7.5,60,7.52,97.4,"1,365,069"
3/1/2001,97.1,7.6,60.1,7.19,97.6,"1,365,858"
4/1/2001,97.8,7.4,60.5,7.22,97.7,"1,364,619"
5/1/2001,98.4,7.1,61.9,7.38,97.8,"1,370,407"
6/1/2001,98.4,6.7,62.4,7.47,98,"1,369,240"
7/1/2001,98.1,7.3,62.6,7.46,98.1,"1,367,204"
8/1/2001,98.2,7.5,62.4,7.39,98.4,"1,371,749"
9/1/2001,98.4,6.6,61.3,7.03,98.5,"1,364,366"
10/1/2001,98.1,6.7,61.3,6.74,98.7,"1,370,585"
11/1/2001,97.4,7.1,60.9,6.51,98.9,"1,379,396"
12/1/2001,97.7,7.6,60.5,6.64,99,"1,377,902"
1/1/2002,98.1,8.7,59.6,6.62,99.1,"1,392,802"
2/1/2002,98.4,8.5,59.8,6.59,99.3,"1,400,429"
3/1/2002,98.8,8.4,60.2,6.8,99.4,"1,399,019"
4/1/2002,99.5,8,60.6,7,99.5,"1,408,942"
5/1/2002,99.4,7.9,62.1,7,99.7,"1,411,041"
6/1/2002,99.6,7.1,63,6.98,99.9,"1,412,654"
7/1/2002,100.3,7.8,63.3,6.9,100,"1,418,178"
8/1/2002,100.7,7.7,63.4,6.61,100.3,"1,423,503"
9/1/2002,100.8,6.9,62.4,6.49,100.5,"1,420,254"
10/1/2002,101.3,6.9,62.3,6.5,100.7,"1,428,810"
11/1/2002,101.6,7.1,62.1,6.47,100.8,"1,428,139"
12/1/2002,101.5,7.1,62,6.39,100.9,"1,423,817"
1/1/2003,102.4,8.1,60.9,6.26,101,"1,431,160"
2/1/2003,102.9,7.9,61.3,6.29,101,"1,434,888"
3/1/2003,103,7.8,61.4,6.33,101.1,"1,433,364"
4/1/2003,102.3,7.9,61.5,6.44,101.2,"1,428,575"
5/1/2003,102.1,8,62.7,6.1,101.3,"1,432,670"
6/1/2003,102.3,7.1,63.8,5.62,101.3,"1,436,792"
7/1/2003,102.5,7.8,63.8,5.71,101.4,"1,444,125"
8/1/2003,102.8,8.1,63.6,5.87,101.7,"1,430,151"
9/1/2003,103,7.3,62.6,5.97,101.8,"1,447,621"
10/1/2003,102.9,6.9,62.8,5.83,101.9,"1,453,840"
11/1/2003,103.1,7.1,62.6,6.02,102,"1,455,337"
12/1/2003,103.6,6.9,62.4,6,102.1,"1,461,488"
1/1/2004,103.7,7.9,61.2,5.78,102.1,"1,464,152"
2/1/2004,103.7,7.8,61.4,5.51,102.2,"1,463,305"
3/1/2004,103.7,7.8,61.4,5.31,102.2,"1,476,416"
4/1/2004,104,7.5,61.8,5.56,102.3,"1,480,256"
5/1/2004,104.7,7.3,63.2,5.82,102.3,"1,481,764"
6/1/2004,104.8,6.7,64.1,6.06,102.4,"1,489,057"
7/1/2004,104.8,7.3,64.1,6.1,102.5,"1,490,489"
8/1/2004,104.7,7.5,63.7,5.97,102.7,"1,496,855"
9/1/2004,104.8,6.5,62.9,5.94,102.7,"1,501,096"
10/1/2004,105.2,6.5,62.9,5.95,102.8,"1,501,618"
11/1/2004,105.7,6.8,62.6,5.87,102.9,"1,507,285"
