date,Unemployment rate,Employment rate
Jan-00,7.3,59.6
Feb-00,7.3,59.9
Mar-00,7.3,60.1
Apr-00,7.1,60.4
May-00,6.7,61.9
Jun-00,6.3,62.5
Jul-00,7,62.7
Aug-00,7.2,62.6
Sep-00,6.3,61.6
Oct-00,6.4,61.6
Nov-00,6.5,61.3
Dec-00,6.4,61.1
Jan-01,7.5,59.9
Feb-01,7.5,60
Mar-01,7.6,60.1
Apr-01,7.4,60.5
May-01,7.1,61.9
Jun-01,6.7,62.4
Jul-01,7.3,62.6
Aug-01,7.5,62.4
Sep-01,6.6,61.3
Oct-01,6.7,61.3
Nov-01,7.1,60.9
Dec-01,7.6,60.5
Jan-02,8.7,59.6
Feb-02,8.5,59.8
Mar-02,8.4,60.2
Apr-02,8,60.6
May-02,7.9,62.1
Jun-02,7.1,63
Jul-02,7.8,63.3
Aug-02,7.7,63.4
Sep-02,6.9,62.4
Oct-02,6.9,62.3
Nov-02,7.1,62.1
Dec-02,7.1,62
Jan-03,8.1,60.9
Feb-03,7.9,61.3
Mar-03,7.8,61.4
Apr-03,7.9,61.5
May-03,8,62.7
Jun-03,7.1,63.8
Jul-03,7.8,63.8
Aug-03,8.1,63.6
Sep-03,7.3,62.6
Oct-03,6.9,62.8
Nov-03,7.1,62.6
Dec-03,6.9,62.4
Jan-04,7.9,61.2
Feb-04,7.8,61.4
Mar-04,7.8,61.4
Apr-04,7.5,61.8
May-04,7.3,63.2
Jun-04,6.7,64.1
Jul-04,7.3,64.1
Aug-04,7.5,63.7
Sep-04,6.5,62.9
Oct-04,6.5,62.9
Nov-04,6.8,62.6
Dec-04,6.7,62.4
Jan-05,7.5,61.2
Feb-05,7.4,61.5
Mar-05,7.4,61.4
Apr-05,7,61.7
May-05,7,63.2
Jun-05,6.3,63.9
Jul-05,6.9,64
Aug-05,7.1,63.8
Sep-05,6.3,62.7
Oct-05,6.1,62.9
Nov-05,6,62.6
Dec-05,6.1,62.3
Jan-06,7.2,61.1
Feb-06,6.7,61.4
Mar-06,6.8,61.6
Apr-06,6.6,61.9
May-06,6.2,63.6
Jun-06,5.7,64.2
Jul-06,6.7,64.2
Aug-06,6.9,63.9
Sep-06,6,62.9
Oct-06,5.6,63
Nov-06,5.9,62.8
Dec-06,5.7,62.7
Jan-07,6.7,61.8
Feb-07,6.5,62.1
Mar-07,6.6,62.3
Apr-07,6.4,62.5
May-07,6.1,63.9
Jun-07,5.6,64.6
Jul-07,6.2,64.6
Aug-07,6.4,64.5
Sep-07,5.5,63.6
Oct-07,5.3,63.8
Nov-07,5.7,63.6
Dec-07,5.6,63.2
Jan-08,6.3,62.3
Feb-08,6.2,62.6
Mar-08,6.5,62.6
Apr-08,6.3,62.8
May-08,6.2,64.1
Jun-08,5.6,64.8
Jul-08,6.3,64.5
Aug-08,6.5,64.3
Sep-08,5.6,63.6
Oct-08,5.6,63.7
Nov-08,6.2,63
Dec-08,6.4,62.6
Jan-09,7.9,61
Feb-09,8.3,60.9
Mar-09,8.8,60.7
