date,C11,Vancouver,Calgary,Edmonton,Winnipeg,Hamilton,Toronto,Ottawa,Montreal
Jan-00,67.94,67.7,71.25,64.38,66.46,70.19,71.76,65.47,60.98
Feb-00,68.3,67.7,71.55,64.79,66.53,70.51,72.5,65.71,60.97
Mar-00,68.45,67.8,72.21,64.96,66.77,70.73,72.47,66.02,61.29
Apr-00,68.96,67.98,72.56,65.52,67.55,71.83,73.2,66.72,61.67
May-00,69.33,68.35,73.09,65.93,67.88,72.7,73.44,67.39,62.21
Jun-00,69.8,68.7,73.24,66.53,68.46,73.18,74,67.78,62.8
Jul-00,70.09,68.81,73.62,66.86,68.82,72.69,74.34,68.1,63.4
Aug-00,70.29,68.73,73.61,67.19,69.09,73.01,74.63,68.38,63.67
Sep-00,70.42,68.33,73.84,67.25,69.07,73.19,74.97,69.29,63.82
Oct-00,70.5,68.09,73.66,67.35,69.05,73.83,75.17,70.08,63.81
Nov-00,70.64,67.96,73.91,67.53,68.92,73.57,75.46,70.92,63.81
Dec-00,70.79,68.1,74.15,67.94,68.81,73.76,75.5,71.66,63.94
Jan-01,71.02,68.36,74.9,68.51,68.46,73.72,75.69,71.8,63.99
Feb-01,71.28,68.34,75.15,68.82,68.55,73.99,76.12,72.37,64.23
Mar-01,71.52,67.96,75.51,69.07,69.01,74.48,76.55,72.77,64.47
Apr-01,71.82,68.15,75.46,69.37,69.76,75.18,76.9,73.2,64.84
May-01,72.25,68.67,75.74,69.91,70.4,75.76,77.2,73.97,65.41
Jun-01,72.81,69.44,76.02,70.56,70.78,76.11,77.68,74.54,66.25
Jul-01,73.26,69.55,76.41,71.07,71.12,76.38,78.11,75.57,67.22
Aug-01,73.64,69.58,76.98,71.6,71.32,76.88,78.45,75.87,67.95
Sep-01,73.92,69.9,77.36,72.08,71.48,76.66,78.82,76.36,67.89
Oct-01,74.29,70.19,77.79,72.7,71.51,77.22,79.39,76.47,67.76
Nov-01,74.51,70.34,77.88,73.31,71.72,77.53,79.69,77.03,67.69
Dec-01,74.69,70.3,78.17,73.94,71.77,77.95,79.82,77.32,67.89
Jan-02,74.97,70.67,78.6,74.51,71.62,77.61,80.06,77.73,68.03
Feb-02,75.56,71.28,79.22,75.53,71.71,77.9,80.81,78.07,68.43
Mar-02,76.4,72.13,79.98,76.62,72.2,78.63,81.72,78.96,69.23
Apr-02,77.31,72.97,80.72,77.96,73.08,79.75,82.73,79.7,70.11
May-02,78.12,73.77,81.44,79.02,73.85,80.83,83.44,80.8,70.93
Jun-02,78.93,74.56,82.11,80.1,74.75,81.56,84.15,81.52,72.1
Jul-02,79.64,74.97,82.61,81.03,75.67,82.23,84.59,82.64,73.71
Aug-02,80.23,75.2,83.2,81.7,76.43,82.75,85.13,83.52,74.88
Sep-02,80.57,75.1,83.83,82.29,76.68,83.2,85.48,84.39,75.25
Oct-02,80.9,75.39,84.6,82.62,76.88,83.42,85.81,84.83,75.53
Nov-02,81.19,75.38,84.93,83.04,76.73,83.84,86.14,85.16,75.88
Dec-02,81.72,75.8,85.37,83.32,76.86,84.2,86.63,85.74,76.73
Jan-03,82.1,76.05,85.79,83.81,77,85.14,87,86.39,76.95
Feb-03,82.72,77.03,86.3,84.39,77.63,85.49,87.43,86.6,77.96
Mar-03,83.29,77.84,86.75,85.11,78.12,86.28,87.93,86.88,78.56
Apr-03,83.96,78.65,87.05,85.68,78.92,86.37,88.5,87.39,79.62
May-03,84.57,79.33,87.58,86.34,79.89,86.64,88.88,88.23,80.44
Jun-03,85.13,80.03,87.9,86.84,81.26,86.94,89.08,88.81,81.57
Jul-03,85.79,80.78,88.32,87.38,82.42,87.64,89.49,89.56,82.56
Aug-03,86.34,81.3,88.75,87.64,83.54,88.27,89.99,89.91,83.34
Sep-03,86.96,82.11,89.09,87.92,84.19,88.79,90.52,90.43,84.1
Oct-03,87.5,83.08,89.58,88.12,84.82,88.96,90.82,90.69,84.88
Nov-03,87.83,83.68,89.79,88.53,84.77,89.02,90.99,91.17,85.16
Dec-03,88.2,84.31,90.18,88.74,84.67,89.4,91.4,91.39,85.23
