date,CPI,Unemployment rate,Employment rate,Mortage,Rent
1-Jan,94,7.3,59.6,8.34,96
1-Feb,94.3,7.3,59.9,8.43,96.1
1-Mar,94.8,7.3,60.1,8.24,96.2
1-Apr,94.4,7.1,60.4,8.23,96.3
1-May,94.7,6.7,61.9,8.5,96.4
1-Jun,95.3,6.3,62.5,8.34,96.5
1-Jul,95.6,7,62.7,8.18,96.6
1-Aug,95.5,7.2,62.6,8.08,96.7
1-Sep,95.9,6.3,61.6,8.08,96.8
1-Oct,96.3,6.4,61.6,8.08,96.9
1-Nov,96.8,6.5,61.3,8.04,97.1
1-Dec,97,6.4,61.1,7.81,97.2
1-Jan,96.8,7.5,59.9,7.58,97.3
1-Feb,96.9,7.5,60,7.52,97.4
1-Mar,97.1,7.6,60.1,7.19,97.6
1-Apr,97.8,7.4,60.5,7.22,97.7
1-May,98.4,7.1,61.9,7.38,97.8
1-Jun,98.4,6.7,62.4,7.47,98
1-Jul,98.1,7.3,62.6,7.46,98.1
1-Aug,98.2,7.5,62.4,7.39,98.4
1-Sep,98.4,6.6,61.3,7.03,98.5
1-Oct,98.1,6.7,61.3,6.74,98.7
1-Nov,97.4,7.1,60.9,6.51,98.9
1-Dec,97.7,7.6,60.5,6.64,99
2-Jan,98.1,8.7,59.6,6.62,99.1
2-Feb,98.4,8.5,59.8,6.59,99.3
2-Mar,98.8,8.4,60.2,6.8,99.4
2-Apr,99.5,8,60.6,7,99.5
2-May,99.4,7.9,62.1,7,99.7
2-Jun,99.6,7.1,63,6.98,99.9
2-Jul,100.3,7.8,63.3,6.9,100
2-Aug,100.7,7.7,63.4,6.61,100.3
2-Sep,100.8,6.9,62.4,6.49,100.5
2-Oct,101.3,6.9,62.3,6.5,100.7
2-Nov,101.6,7.1,62.1,6.47,100.8
2-Dec,101.5,7.1,62,6.39,100.9
3-Jan,102.4,8.1,60.9,6.26,101
3-Feb,102.9,7.9,61.3,6.29,101
3-Mar,103,7.8,61.4,6.33,101.1
3-Apr,102.3,7.9,61.5,6.44,101.2
3-May,102.1,8,62.7,6.1,101.3
3-Jun,102.3,7.1,63.8,5.62,101.3
3-Jul,102.5,7.8,63.8,5.71,101.4
3-Aug,102.8,8.1,63.6,5.87,101.7
3-Sep,103,7.3,62.6,5.97,101.8
3-Oct,102.9,6.9,62.8,5.83,101.9
3-Nov,103.1,7.1,62.6,6.02,102
3-Dec,103.6,6.9,62.4,6,102.1
4-Jan,103.7,7.9,61.2,5.78,102.1
4-Feb,103.7,7.8,61.4,5.51,102.2
4-Mar,103.7,7.8,61.4,5.31,102.2
4-Apr,104,7.5,61.8,5.56,102.3
4-May,104.7,7.3,63.2,5.82,102.3
4-Jun,104.8,6.7,64.1,6.06,102.4
4-Jul,104.8,7.3,64.1,6.1,102.5
4-Aug,104.7,7.5,63.7,5.97,102.7
4-Sep,104.8,6.5,62.9,5.94,102.7
4-Oct,105.2,6.5,62.9,5.95,102.8
4-Nov,105.7,6.8,62.6,5.87,102.9
4-Dec,105.8,6.7,62.4,5.69,103
5-Jan,105.8,7.5,61.2,5.6,103
5-Feb,105.9,7.4,61.5,5.59,103.1
5-Mar,106.2,7.4,61.4,5.6,103.1
5-Apr,106.4,7,61.7,5.67,103.1
5-May,106.3,7,63.2,5.55,103.2
5-Jun,106.6,6.3,63.9,5.31,103.2
5-Jul,106.8,6.9,64,5.26,103.3
5-Aug,107.3,7.1,63.8,5.32,103.5
5-Sep,108.3,6.3,62.7,5.3,103.6
5-Oct,108.1,6.1,62.9,5.39,103.6
5-Nov,107.9,6,62.6,5.56,103.7
5-Dec,108,6.1,62.3,5.6,103.7
6-Jan,108.9,7.2,61.1,5.65,103.8
6-Feb,108.5,6.7,61.4,5.75,103.9
6-Mar,108.6,6.8,61.6,5.78,103.9
6-Apr,109.1,6.6,61.9,5.88,104
6-May,109.2,6.2,63.6,6.05,104.1
6-Jun,109.1,5.7,64.2,6.12,104.2
6-Jul,109.2,6.7,64.2,6.26,104.3
6-Aug,109.4,6.9,63.9,6.24,104.5
6-Sep,109,6,62.9,6.13,104.6
6-Oct,109.1,5.6,63,6.01,104.8
6-Nov,109.5,5.9,62.8,5.99,104.9
6-Dec,109.9,5.7,62.7,5.89,105
7-Jan,110.2,6.7,61.8,5.91,105.1
7-Feb,110.6,6.5,62.1,6,105.2
7-Mar,111.2,6.6,62.3,5.91,105.4
7-Apr,111.5,6.4,62.5,5.92,105.5
7-May,111.5,6.1,63.9,6.01,105.6
7-Jun,111.3,5.6,64.6,6.51,105.8
7-Jul,111.4,6.2,64.6,6.6,106
7-Aug,111.3,6.4,64.5,6.62,106.3
7-Sep,111.7,5.5,63.6,6.61,106.4
7-Oct,111.9,5.3,63.8,6.69,106.6
7-Nov,112.2,5.7,63.6,6.73,106.7
7-Dec,112.6,5.6,63.2,6.75,106.9
8-Jan,112.4,6.3,62.3,6.81,107
8-Feb,112.6,6.2,62.6,6.72,107.2
8-Mar,112.8,6.5,62.6,6.6,107.3
8-Apr,113.3,6.3,62.8,6.4,107.4
8-May,114.1,6.2,64.1,6.21,107.6
