date,CPI,Unemployment rate,Employment rate,Mortage,Rent,GDP
2000-01-01,94,7.3,59.6,8.34,96,1325658
2000-02-01,94.3,7.3,59.9,8.43,96.1,1325888
2000-03-01,94.8,7.3,60.1,8.24,96.2,1336931
2000-04-01,94.4,7.1,60.4,8.23,96.3,1335504
2000-05-01,94.7,6.7,61.9,8.5,96.4,1343064
2000-06-01,95.3,6.3,62.5,8.34,96.5,1348065
2000-07-01,95.6,7,62.7,8.18,96.6,1351075
2000-08-01,95.5,7.2,62.6,8.08,96.7,1356048
2000-09-01,95.9,6.3,61.6,8.08,96.8,1358502
2000-10-01,96.3,6.4,61.6,8.08,96.9,1361067
2000-11-01,96.8,6.5,61.3,8.04,97.1,1362013
2000-12-01,97,6.4,61.1,7.81,97.2,1365443
2001-01-01,96.8,7.5,59.9,7.58,97.3,1365514
2001-02-01,96.9,7.5,60,7.52,97.4,1365069
2001-03-01,97.1,7.6,60.1,7.19,97.6,1365858
2001-04-01,97.8,7.4,60.5,7.22,97.7,1364619
2001-05-01,98.4,7.1,61.9,7.38,97.8,1370407
2001-06-01,98.4,6.7,62.4,7.47,98,1369240
2001-07-01,98.1,7.3,62.6,7.46,98.1,1367204
2001-08-01,98.2,7.5,62.4,7.39,98.4,1371749
2001-09-01,98.4,6.6,61.3,7.03,98.5,1364366
2001-10-01,98.1,6.7,61.3,6.74,98.7,1370585
2001-11-01,97.4,7.1,60.9,6.51,98.9,1379396
2001-12-01,97.7,7.6,60.5,6.64,99,1377902
2002-01-01,98.1,8.7,59.6,6.62,99.1,1392802
2002-02-01,98.4,8.5,59.8,6.59,99.3,1400429
2002-03-01,98.8,8.4,60.2,6.8,99.4,1399019
2002-04-01,99.5,8,60.6,7,99.5,1408942
2002-05-01,99.4,7.9,62.1,7,99.7,1411041
2002-06-01,99.6,7.1,63,6.98,99.9,1412654
2002-07-01,100.3,7.8,63.3,6.9,100,1418178
2002-08-01,100.7,7.7,63.4,6.61,100.3,1423503
2002-09-01,100.8,6.9,62.4,6.49,100.5,1420254
2002-10-01,101.3,6.9,62.3,6.5,100.7,1428810
2002-11-01,101.6,7.1,62.1,6.47,100.8,1428139
2002-12-01,101.5,7.1,62,6.39,100.9,1423817
2003-01-01,102.4,8.1,60.9,6.26,101,1431160
2003-02-01,102.9,7.9,61.3,6.29,101,1434888
2003-03-01,103,7.8,61.4,6.33,101.1,1433364
2003-04-01,102.3,7.9,61.5,6.44,101.2,1428575
2003-05-01,102.1,8,62.7,6.1,101.3,1432670
2003-06-01,102.3,7.1,63.8,5.62,101.3,1436792
2003-07-01,102.5,7.8,63.8,5.71,101.4,1444125
2003-08-01,102.8,8.1,63.6,5.87,101.7,1430151
2003-09-01,103,7.3,62.6,5.97,101.8,1447621
2003-10-01,102.9,6.9,62.8,5.83,101.9,1453840
2003-11-01,103.1,7.1,62.6,6.02,102,1455337
2003-12-01,103.6,6.9,62.4,6,102.1,1461488
2004-01-01,103.7,7.9,61.2,5.78,102.1,1464152
2004-02-01,103.7,7.8,61.4,5.51,102.2,1463305
2004-03-01,103.7,7.8,61.4,5.31,102.2,1476416
2004-04-01,104,7.5,61.8,5.56,102.3,1480256
2004-05-01,104.7,7.3,63.2,5.82,102.3,1481764
2004-06-01,104.8,6.7,64.1,6.06,102.4,1489057
2004-07-01,104.8,7.3,64.1,6.1,102.5,1490489
2004-08-01,104.7,7.5,63.7,5.97,102.7,1496855
2004-09-01,104.8,6.5,62.9,5.94,102.7,1501096
2004-10-01,105.2,6.5,62.9,5.95,102.8,1501618
2004-11-01,105.7,6.8,62.6,5.87,102.9,1507285
2004-12-01,105.8,6.7,62.4,5.69,103,1507620
2005-01-01,105.8,7.5,61.2,5.6,103,1514960
2005-02-01,105.9,7.4,61.5,5.59,103.1,1516009
2005-03-01,106.2,7.4,61.4,5.6,103.1,1510876
2005-04-01,106.4,7,61.7,5.67,103.1,1522079
2005-05-01,106.3,7,63.2,5.55,103.2,1528603
2005-06-01,106.6,6.3,63.9,5.31,103.2,1533199
2005-07-01,106.8,6.9,64,5.26,103.3,1537159
2005-08-01,107.3,7.1,63.8,5.32,103.5,1542983
2005-09-01,108.3,6.3,62.7,5.3,103.6,1544269
2005-10-01,108.1,6.1,62.9,5.39,103.6,1549474
2005-11-01,107.9,6,62.6,5.56,103.7,1557964
2005-12-01,108,6.1,62.3,5.6,103.7,1566198
2006-01-01,108.9,7.2,61.1,5.65,103.8,1570036
2006-02-01,108.5,6.7,61.4,5.75,103.9,1573552
