positive,negative
ABOUND,ABATE
ABOUNDED,ABATES
ABOUNDING,ABATED
ABOUNDINGLY,ABATING
ABOUNDS,ALARMINGLY
ABOVE,ALARM
ACCELERATE,ALARMED
ACCELERATED,ALARMS
ACCELERATES,ALARMING
ACCELERATING,ALLEVIATE
ACCELERATION,ALLEVIATES
ACCRUE,ALLEVIATED
ACCRUED,ALLEVIATING
ACCRUES,ATROPHYING
ACCRUING,ATROPHY
ACCUMULATE,ATROPHIED
ACCUMULATED,BRAKES
ACCUMULATES,BRAKE
ACCUMULATING,BRAKING
ADVANCE,BRAKINGLY
ADVANCEMENT,BUBBLE
ADVANCES,BUBBLES
ADVANCING,BUBBLY
AHEAD,BUBBLED
ALLTIME,BUBBLING
AMPLIFIED,BURSTING
AMPLIFIES,BURST
AMPLIFY,BURSTS
AMPLIFYING,CAVE
AMPLY,CAVING
APPRECIATE,CAVED
APPRECIATED,CHEAPENS
APPRECIATES,CHEAPEN
APPRECIATING,COLLAPSES
ARISE,COLLAPSED
ARISEN,COLLAPSING
ARISING,COLLAPSE
AROSE,CONTRACT
ASCEND,CONTRACTED
ASCENDED,CONTRACTING
ASCENDING,CONTRACTS
ASCENDS,COOL
ASCENSION,COOLED
ASCENT,COOLING
ASTONISH,COOLS
ASTONISHED,CONCERNING
ASTONISHES,CONCERNS
ASTONISHINGLY,CONCERNED
ATTRACTED,CORRODES
ATTRACTIVE,CORROSION
ATTRACTS,CORROSIVE
AUGMENT,CORRODING
AUGMENTATION,CORRODE
AUGMENTED,COUNTERACTING
AUGMENTING,COUNTERACTS
AUGMENTS,COUNTERACTION
BALLOON,COUNTERACT
BALLOONED,CRASHES
BALLOONING,CRASHED
BALLOONS,CRASH
BEAT,CRASHING
BEATING,CRISIS
BEATS,DECAY
BEST,DECAYED
BETTER,DECAYING
BIG,DECAYS
BIGGER,DECLINING
BIGGEST,DECLINED
BLOOM,DECLINE
BLOOMED,DECLINES
BLOOMING,DECREASED
BLOOMS,DECREASE
BLOSSOM,DEADLY
BLOSSOMED,DEATH
BLOSSOMING,DEAD
BLOSSOMS,DEATHS
BOLSTER,DEPLETE
BOLSTERED,DEPLETED
BOLSTERING,DEPLETING
BOLSTERS,DEPLETES
BOOM,DEPRECIATE
BOOMED,DEPRECIATION
BOOMING,DEPRECIATES
BOOMS,DEPRECIATING
BOOST,DEPRESSED
BOOSTED,DEPRESS
BOOSTING,DEPRESSING
BOOSTS,DEPRESSINGLY
BOUNDLESS,DESCENT
BOUNDLESSLY,DESCENDING
BOUNTIFUL,DESCENDS
BREAKTHROUGH,DESCENDED
BRIGHT,DESCEND
BRIGHTER,DETRACTS
BRIGHTLY,DETRACT
BURGEON,DIMMING
BURGEONING,DIM
BURGEONS,DIMMED
CAPITALIZE,DIMS
CAPITALIZED,DIMINISHED
CAPITALIZES,DIMINISHES
CAPITALIZING,DIMINISH
CLIMB,DIMINISHING
CLIMBED,DIPS
CLIMBING,DIPPING
CLIMBS,DECREASES
COMEBACK,DIPPED
CONFIDENCE,DIP
CONFIDENT,DECREASING
CONFIDENTLY,DISCOUNTED
CRESCENDO,DISCOUNT
DESIRABLE,DISCOUNTING
DESIRING,DISCOURAGED
